"TraceNumber","Class"
353,"Failure"
354,"Success"
355,"Success"
356,"Success"
357,"Success"
358,"Success"
359,"Success"
360,"Success"
361,"Success"
362,"Success"
363,"Failure"
364,"Success"
365,"Success"
366,"Success"
367,"Success"
368,"Success"
369,"Failure"
370,"Failure"
371,"Success"
372,"Success"
373,"Failure"
374,"Success"
375,"Failure"
376,"Success"
377,"Success"
378,"Success"
379,"Success"
380,"Success"
381,"Success"
382,"Success"
383,"Success"
384,"Success"
385,"Failure"
386,"Failure"
387,"Failure"
388,"Success"
389,"Failure"
390,"Success"
391,"Success"
392,"Failure"
393,"Success"
394,"Success"
395,"Failure"
396,"Failure"
397,"Success"
398,"Success"
399,"Success"
400,"Failure"
